fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
51,3308595629,Bursera biflora,18.451308,-97.421347,6,1971,20.07083,15.50833,66.55937,221.65143,31.5,8.2,23.3,21.51667,17.11667,22.6,17.11667,594,125,6,88.14359,292,26,206,26,1664
52,3308595001,Bursera biflora,18.165203,-97.507689,5,1991,17.85417,14.525,67.87383,184.18689,28.7,7.3,21.4,18.73333,15.53333,20.08333,15.48333,540,128,7,89.22919,273,23,214,26,2023
53,3308590414,Bursera biflora,18.317,-97.6,7,2002,20.3375,15.025,67.68018,199.9787,31.5,9.3,22.2,21.4,17.7,22.68333,17.7,478,116,3,94.74984,255,14,185,14,1708
54,3308588390,Bursera biflora,18.232978,-97.418728,5,1991,16.36667,13.73333,66.66666,186.34441,27,6.4,20.6,17.3,14.03333,18.65,13.98333,568,128,6,90.06465,290,23,216,26,2135
55,3308578566,Bursera biflora,17.893611,-96.996389,9,2000,25.93333,15.18333,63.52859,246.183,37.9,14,23.9,27.38333,23.88333,28.93333,22.68333,563,117,5,99.73206,329,17,157,17,567
56,3308574232,Bursera biflora,18.283,-97.15,6,1990,23.75417,17.34167,68.81614,233.80701,36.1,10.9,25.2,24.58333,22.01667,26.56667,20.68333,724,147,8,91.36079,391,33,211,34,1270
57,3308569858,Bursera biflora,18.15,-97.3,9,1994,22.27917,16.10833,66.56336,243.8466,34.1,9.9,24.2,23.78333,20.5,25.13333,19.06667,530,116,4,97.03579,285,19,173,20,1387
58,3308568923,Bursera biflora,18.216667,-97.483333,11,1991,19.2,14.6,66.97247,203.84933,30.2,8.4,21.8,20.33333,17.76667,21.61667,16.55,521,116,6,85.31322,257,25,194,32,1857
59,3308536959,Bursera biflora,18.365278,-97.468056,6,1978,16.52917,13.65833,68.98148,169.02742,26.6,6.8,19.8,17.38333,14.35,18.56667,14.35,513,115,5,89.10889,251,19,205,19,2143
60,3308527368,Bursera biflora,18.2,-97.5,9,1985,18.3625,14.45833,67.5623,190.77744,29.2,7.8,21.4,19.33333,15.91667,20.66667,15.91667,530,121,6,86.49812,261,24,206,29,1968
61,3308526089,Bursera biflora,18.48,-97.3725,6,1978,20.37083,15.225,67.07049,218.27275,31.5,8.8,22.7,21.33333,18.68333,22.88333,17.46667,646,134,7,88.25293,319,31,216,32,1597
62,3308519695,Bursera biflora,18.4,-97.442778,6,1978,20.075,14.96667,66.51852,213.18471,31.2,8.7,22.5,21.38333,17.25,22.55,17.25,548,120,4,90.23315,278,22,197,22,1674
63,3308514014,Bursera biflora,18.328056,-97.474722,6,1978,21.65833,15.86667,68.09728,216.34183,33.1,9.8,23.3,22.95,20,24.16667,18.76667,437,105,2,101.15835,230,13,162,13,1480
64,3308495428,Bursera biflora,18.333889,-97.465556,6,1971,21.07917,15.29167,67.66224,211.79384,32.2,9.6,22.6,22.35,18.25,23.53333,18.25,485,113,3,96.62588,255,16,177,16,1571
65,3308471082,Bursera biflora,18.378611,-97.578889,6,1978,18.19167,14.48333,68.31761,182.99074,28.9,7.7,21.2,19.13333,15.78333,20.33333,15.78333,532,118,6,86.46964,251,23,205,23,1885
66,3308470488,Bursera biflora,18.181389,-97.433333,8,1985,17.45417,14.30833,67.49214,188.2148,28.3,7.1,21.2,18.36667,15.11667,19.78333,15.06667,558,125,7,86.60472,279,26,210,30,2038
67,3308467477,Bursera biflora,17.917,-97.067,12,1993,24.32083,17.025,67.55952,245.72211,36.8,11.6,25.2,25.21667,22.46667,27.26667,21.11667,742,143,9,92.41448,414,32,209,32,927
68,3308464132,Bursera biflora,18.14008,-97.32133,7,1994,22.00417,16.24167,66.5642,247.0872,33.9,9.5,24.4,23.55,20.2,24.86667,18.73333,495,110,4,98.06789,266,17,164,18,1380
69,3308403631,Bursera biflora,18.183333,-97.5,6,1983,18.85833,14.63333,67.12538,195.35321,29.9,8.1,21.8,19.85,16.36667,21.21667,16.35,522,119,7,85.93719,260,24,199,30,1900
70,3308393829,Bursera biflora,17.562167,-96.942378,11,1983,19.68333,13.5,63.98104,197.98225,30.2,9.1,21.1,20.75,18.35,22.08333,17.15,898,176,11,91.94019,489,34,265,56,1809
71,3308380396,Bursera biflora,18.333333,-97.45,6,1991,21.40417,15.30833,67.14182,218.86543,32.6,9.8,22.8,22.73333,18.46667,23.91667,18.46667,487,112,3,96.18942,252,17,175,17,1543
72,3308368073,Bursera biflora,18.283,-97.5,11,1985,21.1,15.21667,67.03378,219.25493,32.3,9.6,22.7,22.41667,19.41667,23.61667,18.16667,482,111,5,92.72421,248,20,173,20,1615
73,3308363313,Bursera biflora,18.226667,-97.578333,7,1978,17.70417,14.60833,67.94573,188.6972,28.7,7.2,21.5,18.63333,15.3,19.98333,15.28333,543,138,4,96.99818,287,14,227,17,2048
74,3308361219,Bursera biflora,18.345694,-97.451267,5,1981,20.99167,15.16667,67.40741,209.22836,32.1,9.6,22.5,22.25,18.2,23.41667,18.2,498,114,4,95.3423,260,17,180,17,1582
75,3308358130,Bursera biflora,18.85,-97.5,6,1985,13.39583,16.65833,72.42754,170.31334,24.6,1.6,23,14.98333,11.1,15.28333,11.1,406,81,3,79.36817,199,17,168,17,2315
76,3308357197,Bursera biflora,18.2,-97.517,11,1990,17.6125,14.45833,67.56231,187.84816,28.5,7.1,21.4,18.55,15.21667,19.88333,15.2,543,129,6,89.53414,273,23,217,27,2043
77,3308355256,Bursera biflora,18.334444,-97.485,6,1978,20.80417,15.30833,68.03704,203.45267,31.9,9.4,22.5,21.96667,18.1,23.16667,18.1,479,112,3,96.39742,252,14,177,14,1601
78,3308353678,Bursera biflora,17.8,-96.958333,10,1977,25.00833,14.68333,63.0186,243.93399,36.7,13.4,23.3,26.33333,23.11667,28,21.83333,609,125,6,96.46761,349,20,175,21,674
79,3308332107,Bursera biflora,18.85,-97.7,5,1980,15.875,16.9,71.30801,190.79381,27,3.3,23.7,17.71667,13.26667,18,13.26667,512,108,3,83.06688,247,20,214,20,2114
80,3308327314,Bursera biflora,18.376667,-97.58,6,1978,18.19167,14.48333,68.31761,182.99074,28.9,7.7,21.2,19.13333,15.78333,20.33333,15.78333,532,118,6,86.46964,251,23,205,23,1885
81,3308320464,Bursera biflora,18.251781,-97.495397,10,1978,19.61667,14.33333,66.35802,210.57642,30.5,8.9,21.6,20.83333,18.06667,22.08333,16.83333,512,116,6,87.11781,256,24,192,24,1817
82,3308290877,Bursera biflora,17.9,-96.983,8,1975,25.4375,15.04167,62.93584,248.62466,37.4,13.5,23.9,26.31667,23.4,28.46667,22.18333,624,129,6,98.60019,363,20,174,21,593
83,3308283214,Bursera biflora,18.323219,-97.750267,8,1980,20.00833,14.28333,68.34131,182.70485,30.7,9.8,20.9,20.9,17.66667,22.21667,17.66667,531,127,3,96.49101,289,13,199,18,1722
84,3308279225,Bursera biflora,18.433333,-97.4,9,1979,20.68333,15.71667,67.16525,222.81599,32.1,8.7,23.4,21.71667,18.93333,23.21667,17.7,602,127,6,88.7901,295,28,202,29,1591
85,3308254831,Bursera biflora,18.373333,-97.4375,6,1975,20.725,15.11667,67.18519,214.59793,31.8,9.3,22.5,22.03333,19.08333,23.21667,17.86667,536,119,5,91.81584,273,23,190,23,1609
86,3308251797,Bursera biflora,18.38,-97.470833,10,1977,16.42917,13.75833,68.44942,177.37299,26.6,6.5,20.1,17.4,14.13333,18.53333,14.13333,510,112,5,87.6939,245,20,201,20,2124
87,3308208723,Bursera biflora,18.461939,-97.392781,5,1945,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
88,3308198857,Bursera biflora,18.203611,-97.133333,7,1961,24.5125,18.69167,71.07098,233.65793,37.5,11.2,26.3,25.25,21.48333,27.35,21.48333,595,115,6,93.44582,331,23,178,23,1012
89,3308189914,Bursera biflora,18.4619,-97.3928,8,1897,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
90,3308102868,Bursera biflora,18.47786,-97.56689,6,2009,17.175,14.6,67.59259,198.45424,28,6.4,21.6,18.95,14.56667,19.43333,14.55,513,112,4,87.39207,244,20,205,24,1946
91,3308100613,Bursera biflora,17.72778,-96.99056,7,2002,25.0625,15.64167,65.4463,235.12209,37,13.1,23.9,26.33333,23.28333,27.96667,22.01667,714,140,8,92.85801,398,28,208,28,917
92,3308076035,Bursera biflora,17.594,-96.94744,6,2009,22.52917,14.69167,65.00738,217.13483,33.6,11,22.6,23.76667,19.71667,25.13333,19.71667,1003,190,13,90.19022,547,41,287,41,1444
93,3308075042,Bursera biflora,18.15397,-97.42108,11,2002,18.36667,14.18333,67.21959,189.42897,29.1,8,21.1,19.31667,17.11667,20.7,15.95,551,123,6,86.84835,277,24,205,31,1984
94,3308044659,Bursera biflora,17.2961,-96.1546,9,1988,19.57917,11.225,62.36111,179.55069,28.8,10.8,18,20.06667,20.01667,21.81667,17.35,2423,414,49,76.94271,1231,161,547,292,1554
95,3308034320,Bursera biflora,17.808333,-97.025,11,1990,24.82917,16.425,67.04082,234.80611,37,12.5,24.5,25.61667,21.78333,27.68333,21.78333,854,164,12,90.73415,471,38,239,38,1037
96,3308027774,Bursera biflora,18.32,-97.605,7,2002,20.27917,14.99167,67.83559,200.52725,31.4,9.3,22.1,21.38333,17.63333,22.61667,17.63333,480,116,3,94.61174,256,14,186,14,1712
97,3308023839,Bursera biflora,17.783,-96.95,7,2002,24.8,14.83333,63.66237,243.48793,36.5,13.2,23.3,26.1,22.96667,27.8,21.65,667,135,8,93.77004,376,27,191,28,752
98,3308021063,Bursera biflora,17.42167,-96.83083,7,2002,21.25417,14.64167,64.50073,213.82297,32.5,9.8,22.7,22.48333,18.51667,23.8,18.46667,906,169,11,87.68451,489,43,271,54,1452
99,3308002973,Bursera biflora,18.01667,-97.36667,10,2001,20.15417,15.54167,66.13476,221.32307,31.8,8.3,23.5,21.46667,18.63333,22.78333,17.28333,550,121,5,89.8959,293,21,190,32,1783
100,3308001767,Bursera biflora,17.52,-96.944167,7,1977,17.64167,13.1,64.53202,182.49324,27.9,7.6,20.3,18.56667,16.55,19.86667,15.28333,727,149,7,93.48252,397,23,226,40,1994
101,3307995790,Bursera biflora,17.574997,-96.958331,6,1978,20.22083,13.60833,64.19025,201.25131,30.7,9.5,21.2,21.35,18.83333,22.65,17.65,922,179,12,91.33783,501,36,270,58,1749
102,3307985861,Bursera biflora,17.767,-97.033,8,1987,24.38333,16.26667,67.49654,224.53317,36.2,12.1,24.1,25.11667,22.75,27.11667,21.46667,947,177,15,88.1347,512,49,260,50,1197
103,3307950274,Bursera biflora,17.875406,-96.996053,6,1978,25.85417,15.19167,63.29861,245.74063,37.9,13.9,24,27.25,23.85,28.86667,22.63333,563,118,4,100.87289,332,17,160,17,600
104,3307906364,Bursera biflora,18.209167,-97.593889,7,1978,17.54583,14.79167,68.16436,188.2148,28.6,6.9,21.7,18.48333,15.15,19.81667,15.13333,551,140,5,96.61816,290,15,230,17,2072
105,3307891764,Bursera biflora,18.717,-97.883,8,1984,18.66667,17.06667,70.52341,195.4986,30.5,6.3,24.2,19.88333,16.06667,20.95,16.06667,595,126,4,88.22402,291,21,230,21,1841
106,3307890738,Bursera biflora,18.498056,-97.401944,10,1986,19.75,15.16667,66.81351,214.63499,30.9,8.2,22.7,21.13333,18.1,22.21667,16.9,633,128,7,85.94875,306,30,215,30,1692
107,3307814591,Bursera biflora,18.2,-97.133,10,1992,24.57917,18.55833,70.56401,237.09854,37.6,11.3,26.3,25.83333,21.48333,27.45,21.48333,613,117,6,93.33239,341,23,184,23,962
108,3307802185,Bursera biflora,17.483,-96.867,12,1991,22.02917,15.025,65.04329,212.50089,33.4,10.3,23.1,23.2,19.31667,24.6,19.3,951,178,14,88.60207,514,44,278,58,1411
109,3307782346,Bursera biflora,18.202778,-97.518611,10,1984,17.64583,14.39167,67.56651,189.75414,28.5,7.2,21.3,18.61667,15.21667,19.93333,15.21667,544,128,6,89.2176,272,23,216,27,2039
110,3307773742,Bursera biflora,18.033,-97.183,11,1987,24.04167,17.41667,68.56956,244.84535,36.6,11.2,25.4,25.41667,20.8,26.91667,20.8,522,103,5,94.7534,290,18,160,18,995
111,3307760846,Bursera biflora,17.978611,-96.994444,7,1978,24.71667,16.35,66.73469,235.76115,37,12.5,24.5,25.41667,22.91667,27.63333,21.66667,1024,198,12,89.73975,568,45,271,51,819
112,3307759458,Bursera biflora,17.9,-97.367,7,1986,17.01667,16.26667,68.63573,177.51227,28.8,5.1,23.7,17.85,14.81667,19.18333,14.75,494,116,4,94.01073,259,12,202,16,2127
113,3307754888,Bursera biflora,18.461667,-97.393333,6,1987,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
114,3307735223,Bursera biflora,17.6,-96.95,8,1985,22.52917,14.69167,65.00738,217.13483,33.6,11,22.6,23.76667,19.71667,25.13333,19.71667,1003,190,13,90.19022,547,41,287,41,1444
115,3307710196,Bursera biflora,18.208808,-97.644294,5,1981,18.7625,14.375,67.8066,185.80446,29.6,8.4,21.2,19.66667,16.36667,21,16.36667,537,136,4,96.50904,286,15,223,15,1961
116,3307706737,Bursera biflora,18.466667,-97.4,7,1979,20.31667,15.35,66.73913,218.91606,31.6,8.6,23,21.3,17.4,22.83333,17.4,632,132,6,87.35329,307,29,212,29,1642
117,3307703888,Bursera biflora,17.804953,-97.021189,8,1980,24.82917,16.425,67.04082,234.80611,37,12.5,24.5,25.61667,21.78333,27.68333,21.78333,854,164,12,90.73415,471,38,239,38,1037
118,3307680758,Bursera biflora,18.383333,-97.442778,7,1977,20.15833,14.78333,66.89291,210.24696,31.1,9,22.1,21.45,17.36667,22.6,17.36667,551,120,5,88.87897,276,23,196,23,1680
119,3307675622,Bursera biflora,18.349961,-97.451594,6,1975,20.99167,15.16667,67.40741,209.22836,32.1,9.6,22.5,22.25,18.2,23.41667,18.2,498,114,4,95.3423,260,17,180,17,1582
120,3306203207,Bursera biflora,18.526111,-97.652944,10,2002,14.74167,15.11667,71.64297,164.86681,25.3,4.2,21.1,16.25,12.56667,16.65,12.56667,459,111,1,96.1678,244,10,203,10,2331
121,3306201658,Bursera biflora,18.206694,-97.128694,12,2010,24.5125,18.69167,71.07098,233.65793,37.5,11.2,26.3,25.25,21.48333,27.35,21.48333,595,115,6,93.44582,331,23,178,23,1012
122,2998564862,Bursera biflora,18.46,-97.39,8,1897,20.375,15.36667,67.10335,219.95351,31.6,8.7,22.9,21.38333,18.68333,22.88333,17.45,641,135,6,87.03613,311,30,212,30,1628
123,2859494655,Bursera biflora,18.461476,-97.392821,8,1897,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
124,2629755297,Bursera biflora,18.551944,-97.441111,6,1978,18.22917,14.99167,66.62963,202.63557,29.5,7,22.5,19.43333,15.61667,20.65,15.6,601,121,8,83.51537,283,28,215,37,1817
125,2629746253,Bursera biflora,17.422222,-96.821667,8,1978,21.78333,14.93333,64.36782,221.77316,33.3,10.1,23.2,23.05,20.28333,24.43333,18.9,933,174,12,86.65784,500,46,274,60,1324
126,2629655497,Bursera biflora,18.153889,-97.420833,11,2002,18.36667,14.18333,67.21959,189.42897,29.1,8,21.1,19.31667,17.11667,20.7,15.95,551,123,6,86.84835,277,24,205,31,1984
127,2629621104,Bursera biflora,20.331667,-98.006111,6,1978,20.82083,10.775,57.01058,268.84821,29.9,11,18.9,22.68333,17.98333,23.58333,17.1,2260,444,52,78.86645,1175,159,841,162,591
128,2629621101,Bursera biflora,18.378611,-97.577778,6,1978,18.19167,14.48333,68.31761,182.99074,28.9,7.7,21.2,19.13333,15.78333,20.33333,15.78333,532,118,6,86.46964,251,23,205,23,1885
129,2629621099,Bursera biflora,19.207778,-96.824167,4,1978,21.36667,11.23333,62.06261,221.88585,30.4,12.3,18.1,23.1,20.81667,23.66667,18.26667,1309,239,28,80.27606,661,100,363,107,814
130,2629618116,Bursera biflora,18.316667,-97.466667,6,1991,21.52917,15.60833,67.86232,217.34407,32.8,9.8,23,22.85,18.61667,24.01667,18.61667,458,108,3,98.72774,239,14,168,14,1524
